audio_file|text|speaker_name
female_10173.wav|इनकु कमिनाला लेका को आसुलेन तन तइकेना।|female
female_10189.wav|रेलवेरे काको नामो:तान डॉक्टर|female
female_10248.wav|हटि कुटि सा:ते सुरक्षा कवच रे होरा बाइ:ओ: गेआ।|female
female_10543.wav|अम एनतअः रे जअः टेनिसम इनुङ तइना।|female
female_10691.wav|लोर्का राः दुराङको जिद दुराङको मेनाः।|female
female_10799.wav|अकरिंग रेआ जाना जगर ताइनो:अ।|female
female_10905.wav|ओड़ाः दुआर बोरो रे ताइनोःताना।|female
female_11232.wav|रिक्शा ते ले तेबा: केदा।|female
female_11358.wav|बारिआ ट्रककिनाः टेपेला रे मिआद हारतानिः गोएःजाना।|female
female_11590.wav|दारू को ते यो चुनरतु नमोआ|female
female_11751.wav|बंता दो कातुइ उड़ुङकेदा ओड़ोः आपान कुड़ाम रेः सोबोःकेदा।|female
female_11861.wav|नेआ नगर रआः साइति रे होराएः आद केदा।|female
female_12214.wav|इनि: होड़ोको लो:ओ गे ताइना‌।|female
female_1228.wav|लेल रिकन रेआ: पेड़े:।|female
female_12461.wav|बेसेखोन बिजली का हिजुः रआः कामि सेसेनताना।|female
female_12820.wav|अस्पताल हातु रे मेनाः चि बानोः ?|female
female_12898.wav|इनकु बजट कको मंजूर जादा।|female
female_13161.wav|भारत रेनकोआः नाड़ेःरेन हागाजातिको नागेन ओड़ाः रिंड़िं|female
female_13350.wav|आञ बारानकिन माइनकिनाञ।|female
female_13485.wav|एन्ड्रॉयट रे राउंड अप आर वेब गूगल क्रोम ओड़ोः|female
female_13512.wav|सन्जीव कुमार गुलजाराः सुकु राः कलाकार ताइकेनाएः।|female
female_13715.wav|सुकवार हुलंग सीएजी रेअः रिपोर्ट संसद रे दोहोयना।|female
female_13736.wav|निमिर टीवी रे ओकोआ रियलिटी शो को लेल रिका जादा।|female
female_13877.wav|सारते होरा ते बिनगा सोबेना होबाजाना।|female
female_13896.wav|आपूर्ति निरीक्षक मिआद कुड़ि लोः का-बुगिनाः रिकाकेदाएः|female
female_14015.wav|सेरेओ इनिः नेआः काआनि रेन चावी मेनाःइ।|female
female_14047.wav|इनि: जगर काए जगर जना।|female
